order,suborder,family,subfamily,genus,species
Coleoptera,Adephaga,"Gyrinidae Latreille, 1810","Gyrininae Latreille, 1810","Gyrinus Geoffroy, 1762",Gyrinus minutus
Coleoptera,Adephaga,"Gyrinidae Latreille, 1810","Gyrininae Latreille, 1810","Gyrinus Geoffroy, 1762",Gyrinus opacus
Coleoptera,Adephaga,"Gyrinidae Latreille, 1810","Gyrininae Latreille, 1810","Gyrinus Geoffroy, 1762",Gyrinus aeratus
Coleoptera,Adephaga,"Gyrinidae Latreille, 1810","Gyrininae Latreille, 1810","Gyrinus Geoffroy, 1762",Gyrinus pullatus
Coleoptera,Adephaga,"Gyrinidae Latreille, 1810","Gyrininae Latreille, 1810","Gyrinus Geoffroy, 1762",Gyrinus marinus
Coleoptera,Adephaga,"Gyrinidae Latreille, 1810","Gyrininae Latreille, 1810","Gyrinus Geoffroy, 1762",Gyrinus colymbus
Coleoptera,Adephaga,"Gyrinidae Latreille, 1810","Gyrininae Latreille, 1810","Gyrinus Geoffroy, 1762",Gyrinus distinctus
Coleoptera,Adephaga,"Gyrinidae Latreille, 1810","Gyrininae Latreille, 1810","Gyrinus Geoffroy, 1762",Gyrinus suffriani
Coleoptera,Adephaga,"Gyrinidae Latreille, 1810","Gyrininae Latreille, 1810","Gyrinus Geoffroy, 1762",Gyrinus natator
Coleoptera,Adephaga,"Gyrinidae Latreille, 1810","Gyrininae Latreille, 1810","Gyrinus Geoffroy, 1762",Gyrinus substriatus
Coleoptera,Adephaga,"Gyrinidae Latreille, 1810","Gyrininae Latreille, 1810","Gyrinus Geoffroy, 1762",Gyrinus urinator
Coleoptera,Adephaga,"Gyrinidae Latreille, 1810","Gyrininae Latreille, 1810","Gyrinus Geoffroy, 1762",Gyrinus caspius
Coleoptera,Adephaga,"Gyrinidae Latreille, 1810","Gyrininae Latreille, 1810","Gyrinus Geoffroy, 1762",Gyrinus paykulli
Coleoptera,Adephaga,"Gyrinidae Latreille, 1810","Orectophilinae R¨¦gimbart, 1882","Orectochilus Dejean, 1833",Orectochilus villosus
Coleoptera,Adephaga,"Dytiscidae Leach, 1815","Copelatinae Van den Branden, 1885","Copelatus Erichson, 1832",Copelatus haemorrhoidalis
Coleoptera,Adephaga,"Dytiscidae Leach, 1815","Laccophilinae Gistel, 1856","Laccophilus Leach, 1815",Laccophilus hyalinus
Coleoptera,Adephaga,"Dytiscidae Leach, 1815","Laccophilinae Gistel, 1856","Laccophilus Leach, 1815",Laccophilus minutus
Coleoptera,Adephaga,"Dytiscidae Leach, 1815","Laccophilinae Gistel, 1856","Laccophilus Leach, 1815",Laccophilus biguttatus
Coleoptera,Adephaga,"Dytiscidae Leach, 1815","Laccophilinae Gistel, 1856","Laccophilus Leach, 1815",Laccophilus poecilus
Coleoptera,Adephaga,"Dytiscidae Leach, 1815","Hydroporinae Erichson, 1837","Laccornis Des Gozis, 1914",Laccornis oblongus
Coleoptera,Adephaga,"Dytiscidae Leach, 1815","Hydroporinae Erichson, 1837","Hydrovatus Motschulsky, 1853",Hydrovatus cuspidatus
Coleoptera,Adephaga,"Dytiscidae Leach, 1815","Hydroporinae Erichson, 1837","Bidessus Sharp, 1882",Bidessus unistriatus
Coleoptera,Adephaga,"Dytiscidae Leach, 1815","Hydroporinae Erichson, 1837","Bidessus Sharp, 1882",Bidessus grossepunctatus
Coleoptera,Adephaga,"Dytiscidae Leach, 1815","Hydroporinae Erichson, 1837","Hydroglyphus Motschulsky, 1853",Hydroglyphus geminus
Coleoptera,Adephaga,"Dytiscidae Leach, 1815","Hydroporinae Erichson, 1837","Hydroglyphus Motschulsky, 1853",Hydroglyphus hamulatus
Coleoptera,Adephaga,"Dytiscidae Leach, 1815","Hydroporinae Erichson, 1837","Hyphydrus Illiger, 1802",Hyphydrus ovatus
Coleoptera,Adephaga,"Dytiscidae Leach, 1815","Hydroporinae Erichson, 1837","Hygrotus Stephens, 1828",Hygrotus decoratus
Coleoptera,Adephaga,"Dytiscidae Leach, 1815","Hydroporinae Erichson, 1837","Hygrotus Stephens, 1828",Hygrotus inaequalis
Coleoptera,Adephaga,"Dytiscidae Leach, 1815","Hydroporinae Erichson, 1837","Hygrotus Stephens, 1828",Hygrotus versicolor
