family,subfamily,tribe,subtribe,genus,species,subspecies
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia acraea,"Aporia acraea acraea (Oberth¨¹r, 1886)"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia acraea,"Aporia acraea lotis (Leech, 1890)"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia acraea,"Aporia tayiensis Yoshino, 1995"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia acraea,"Aporia acraea wolongensis Yoshino, 1995"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia agathon,"Aporia agathon agathon Gray, 1831"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia agathon,"Aporia agathon bifurcata Tytler, 1939"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia agathon,"Aporia agathon lemoulti Bernardi, 1944"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia agathon,"Aporia agathon omotoi Yoshino, 2003"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia agathon,"Aporia agathon sapaensis Funahashi, 2003"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia crataegi,"Aporia crataegi crataegi (Linnaeus, 1758)"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia crataegi,"Aporia crataegi hyalina R<U+00F6>ber, 1907"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia crataegi,"Aporia crataegi pellucida R<U+00F6>ber, 1907"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia crataegi,"Aporia crataegi shugnana Sheljuzhko, 1925"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia gigantea,"Aporia gigantea cheni Y.F.Hsu & Chou, 1999"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia gigantea,"Aporia gigantea gigantea Koiwaya, 1993"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia leucodice,"Aporia leucodice aryana Wyatt & Omoto, 1966"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia leucodice,"Aporia leucodice (Eversmann, 1843)"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia leucodice,"Bull. Soc. Imp. Nat. Moscou, 16(3):541, t.7, f.2a-b"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia martineti,"Aporia martineti konbogyandaensis Yoshino, 1998"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia martineti,"Aporia martineti martineti (Oberth¨¹r, 1884)"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia potanini,"Aporia potanini huanghaoi F. Yuan & C.S. Wu, 2005"
Pieridae,Pierinae,Pierini,Aporiina,Aporia,Aporia potanini,"Aporia potanini potanini Alph¨¦raky, 1892"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Archonoia,"Catasticta ludovici Eitschberger & Racheli, 1998"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Archonoia,"Catasticta (Archonoia) hebra (Lucas, 1852)"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Archonoia,"Catasticta huancabambensis Joicey & Rosenberg, 1915"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Archonoia,"Catasticta pluvius Tessmann, 1928"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Archonoia,"Catasticta potameoides Reissinger, 1972"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Archonoia,"Catasticta sella Eitschberger & Racheli, 1998"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Archonoia,"Catasticta teutamis (Hewitson, 1860)"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Catasticta,"Catasticta flisa (Herrich-Sch<U+00E4>ffer, 1858)"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Catasticta,"Catasticta huebneri' Lathy & Rosenberg, 1912"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Catasticta,"Catasticta nimbice (Boisduval, 1836)"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Catasticta,"Catasticta theresa Butler & Druce, 1874"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Catasticta,"Catasticta lanceolata Lathy & Rosenberg, 1912"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Catasticta,"Catasticta philoscia (C. Felder & R. Felder, 1861)"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Catasticta,"Catasticta pyrczi Bollino, 2008"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Catasticta,"Catasticta lisa Baumann & Reissinger, 1969"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Catasticta,"Catasticta prioneris (Hopffer, 1874)"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Catasticta,"Catasticta sisamnus (Fabricius, 1793)"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Catasticta,"Catasticta pillcopata Bollino, 2008"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Catasticta,"Catasticta seitzi Lathy & Rosenberg, 1912"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Catasticta,"Catasticta troezene (C. Felder & R. Felder, [1865])"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Hesperochoia,"Catasticta chrysolopha Kollar, 1850"
Pieridae,Pierinae,Pierini,Aporiina,Catasticta,Hesperochoia,"Catasticta revancha Rey & Pyrcz, 1996"
