"genus","species","subspecies","author_year","distribution","latitude","longitude","detail"
"Pachliopta","pandiyana","NA","Moore, 1881","Goa","15.2993265","74.123996","Ó¡¶È¹û°¢°î"
" "," "," "," "," Karnataka","15.3172775","75.7138884","Ó¡¶È¿¨ÄÉËþ¿Ë°î"
" "," "," "," "," Kerala","10.8505159","76.2710833","Ó¡¶È¿¦À­À­°î"
"Pachliopta","aristolochiae","NA","Fabricius, 1775","Meghalaya","25.4670308","91.366216","Ó¡¶ÈÃ·¼ÓÀ­ÑÇ°î"
" "," "," "," "," Paschimbanga","22.5978751","88.3183005","Natabar Pal Road, Chatterjee Para More Tikiapara, Howrah, West Bengal 711101Ó¡¶È"
" "," "," "," "," Kerala","10.8505159","76.2710833","Ó¡¶È¿¦À­À­°î"
" "," "," "," "," Karnataka","15.3172775","75.7138884","Ó¡¶È¿¨ÄÉËþ¿Ë°î"
" "," "," "," "," Arunachal Pradesh","28.2179994","94.7277528","Ó¡¶È°¢Â³ÄÉÇ¡¶û°î"
" "," "," "," "," Telangana","18.1124372","79.0192997","Ó¡¶ÈÌØÂ×¸ÊµØ"
" "," "," "," "," Andhra Pradesh","15.9128998","79.7399875","Ó¡¶È°²µÃÀ­°î"
" "," "," "," "," Maharashtra","19.7514798","75.7138884","Ó¡¶ÈÂí¹þÀ­Ê©ÌØÀ­°î"
" "," "," "," "," Gujarat","22.258652","71.1923805","Ó¡¶È¹Å¼ªÀ­ÌØ°î"
" "," "," "," "," Odisha","20.9516658","85.0985236","Ó¡¶È°ÂÀïÈø°î"
" "," "," "," "," Chhattisgarh","21.2786567","81.8661442","Ó¡¶ÈÇÐµÙË¹¸ñ –"
